"Qty";"Value";"Device";"Package";"Parts";"Description";"3D_HEIGHT";"3D_INFO";"AECQ";"BAUART";"BR_INFO_1";"BR_INFO_2";"BR_INFO_3";"BR_LIEF_1";"BR_LIEF_2";"BR_MAT";"BR_VALUE";"HER_MAT";"TEC_MAT";"ZFREIGABE";
"12";"";"0805_";"0805_R";"C19, C20, C21, C22, C24, C25, C26, C27, C28, C30, C43, C44";"0805 Keramikkondensatoren";"";"C";"";"";"";"";"";"";"";"";"n.b.";"";"";"";
"9";"";"0805_100NF";"0805_R";"C6, C7, C8, C11, C12, C31, C34, C36, C38";"0805 Keramikkondensatoren";"1.1";"C";"yes";"SMD";"50V/10%";"X7R";" ";"Farnell, 2070444";"Farnell, 1833888";"CC-02-100003";"100nF";"frei (AVX, 08051C104K4T2A | KEM, C0805C104K1RACAUTO)";"3225.0001.00";"";
"1";"";"0805_100PF";"0805_R";"C29";"0805 Keramikkondensatoren";"0.9";"C";"yes";"SMD";"100V/5%";"C0G/NP0";"";"Farnell, 2834563";"Mouser, 80-C0805C101JAGAUTO";"CC-01-100001";"100pF";"";"3225.0018.00";"";
"1";"";"0805_10NF";"0805_R";"C37";"0805 Keramikkondensatoren";"0.8";"C";"";"SMD";"50V/10%";"X7R";" ";"Schukat, CVNF010K0805";"Bürklin 53D300";"CC-02-100008";"10nF";"frei";"3225.0013.00";"";
"3";"";"0805_1UF";"0805_R";"C1, C2, C3";"0805 Keramikkondensatoren";"1.3";"C";"yes";"SMD";"100V/10%";"X7S";" ";"Farnell, 2210997";"Mouser, 810-CGA4J3X7S2A105K";"CC-06-100001";"1uF";"frei";"";"";
"1";"";"LQH43P_";"1812_R";"L3";"1812 SMD Drossel";"";"";"";"";" ";" ";" ";"";"";"";"n.b.";"";"";"";
"2";"";"LQH43P_LQH43PN470M26P";"1812_R";"L1, L4";"1812 SMD Drossel";"2.8";"L";"";"SMD";"470mA";"8MHz";" ";"Farnell, 2219284";"Mouser, 81-LQH43PN470M26L";"LG-01-100001";"47uH";"MUR, LQH43PN470M26L";"";"";
"14";"0805_";"0805_";"0805_R";"R5, R6, R9, R10, R11, R12, R13, R14, R15, R33, R34, R35, R36, R41";"0805 SMD Widerstände Standard";"";"R";"";"";" ";" ";" ";"";"";"";"n.b.";"";"";"";
"2";"0805_0R";"0805_0R";"0805_R";"R16, R17";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805E000";"";"RM-01-100008";"0R";"frei";"2355.0001.00";"";
"5";"0805_100K";"0805_100K";"0805_R";"R4, R23, R25, R26, R27";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805K100-1";"Bürklin, 11E290";"RM-01-100012";"100k";"frei";"2355.0013.00";"";
"2";"0805_10K";"0805_10K";"0805_R";"R28, R30";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805K010-1";"Bürklin, 11E242";"RM-01-100005";"10k";"frei";"2355.0007.00";"";
"1";"0805_120K";"0805_120K";"0805_R";"R32";"0805 SMD Widerstände Standard";"0.6";"R";"";"SMD";"0,125W";"1%";"";"Schukat, CR0805K120-1";"";"RM-xxx";"120k";"frei";"";"";
"1";"0805_120R";"0805_120R";"0805_R";"R2";"0805 SMD Widerstände Standard";"0.6";"R";"";"SMD";"0,125W";"1%";"";"Schukat, RL0805E120-1";"";"RM-xxx";"120R";"frei";"";"";
"1";"0805_1K";"0805_1K";"0805_R";"R31";"0805 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,125W";"1%";" ";"Schukat, CR0805K001-1";"Bürklin, 11E194";"RM-01-100002";"1k";"frei";"2355.0017.00";"";
