"Qty";"Value";"Device";"Package";"Parts";"Description";"3D_HEIGHT";"3D_INFO";"AECQ";"BAUART";"BR_INFO_1";"BR_INFO_2";"BR_INFO_3";"BR_LIEF_1";"BR_LIEF_2";"BR_MAT";"BR_VALUE";"HER_MAT";"R1";"R2";"TEC_MAT";"ZFREIGABE";
"2";"";"0805_";"0805_R";"C15, C16";"0805 Keramikkondensatoren";"";"C";"";"";"";"";"";"";"";"";"n.b.";"";"";"";"";"";
"8";"0603_";"0603_";"0603_R";"C21, C24, C25, C28, C30, C31, C32, C33";"0603 Keramikkondensatoren";"";"C";"";"";" ";" ";" ";"";"";"";"n.b.";"";"";"";"";"";
"11";"0603_";"0603_";"0603_R";"R18, R26, R29, R32, R35, R36, R38, R39, R42, R44, R45";"0603 SMD Widerstände Standard";"";"R";"";"";" ";" ";" ";"";"";"";"n.b.";"";"";"";"";"";
"16";"0603_0R";"0603_0R";"0603_R";"R5, R8, R9, R10, R11, R12, R13, R14, R15, R19, R20, R24, R27, R34, R37, R43";"0603 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,1W";"1%";" ";"Schukat, CR0603E000";"Farnell, 1853265";"RM-01-100054";"0R";"frei";"";"";"2345.0008.00 ";"";
"3";"0603_100NF";"0603_100NF";"0603_R";"C17, C19, C29";"0603 Keramikkondensatoren";"0.8";"C";"yes";"SMD";"50V/10%";"X7R";" ";"Farnell, 2070398";"";"CC-02-100015";"100nF";"";"";"";"3215.0014.00";"";
"3";"0603_10K";"0603_10K";"0603_R";"R6, R22, R23";"0603 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,1W";"1%";" ";"Schukat, CR0603K010-1";"Farnell, 1652827";"RM-01-100052";"10k";"frei";"";"";"2345.0004.00 ";"";
"1";"0603_10NF";"0603_10NF";"0603_R";"C35";"0603 Keramikkondensatoren";"0.8";"C";"yes";"SMD";"50V/10%";"X7R";" ";"";"";"CC-02-100017";"10nF";"";"";"";"3215.0001.00";"";
"1";"0603_120K";"0603_120K";"0603_R";"R33";"0603 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,1W";"1%";" ";"Schukat, CR0603K120-1";"";"RM-01-100xxx";"120k";"frei";"";"";"2345.0205.00";"";
"1";"0603_150K";"0603_150K";"0603_R";"R30";"0603 SMD Widerstände Standard";"0.6";"R";"yes";"SMD";"0,1W";"1%";" ";"Mouser, 71-CRCW0603150KFKEAH";"";"RM-01-100042";"150k";"frei";"";"";"2345.0033.00 ";"";
"1";"0603_15K";"0603_15K";"0603_R";"R25";"0603 SMD Widerstände Standard";"0.6";"R";"";"SMD";"0,1W";"1%";" ";"Mouser, 71-CRCW0603J-15K-E3";"";"RM-xxxx";"15k0";"frei";"";"";"2345.0030.00 ";"";
"2";"0603_1NF_X7R";"0603_1NF_X7R";"0603_R";"C18, C34";"0603 Keramikkondensatoren";"0.8";"C";"yes";"SMD";"50V/10%";"X7R";"";"Mouser, 80-C0603C102K5RAUTO";"";"CC-xx-100xxx";"1nF";"";"";"";"3215.0008.00 ";"";
